,winner,num_moves,first_player.id,first_player.depth,first_player.times,first_player.num_nodes_gen,second_player.id,second_player.depth,second_player.times,second_player.num_nodes_gen
47,1,31,PlayerBFMM,7,"[0.028354, 0.017027, 0.057485, 0.12812, 0.026183, 0.020035, 0.012141, 0.018486, 0.056326, 0.026906, 0.080692, 0.033645, 0.010975, 0.043897, 0.009512, 0.000399]",5787,PlayerBFMM,6,"[0.027613, 0.006297, 0.023858, 0.019716, 0.026195, 0.009111, 0.00864, 0.017389, 0.035024, 0.022482, 0.07958, 0.034926, 0.00934, 0.041832, 0.008962]",3441
48,2,40,PlayerBFMM,7,"[0.031062, 0.023954, 0.010611, 0.054073, 0.047033, 0.045105, 0.009444, 0.080646, 0.039216, 0.017052, 0.025669, 0.022228, 0.012116, 0.006394, 0.01064, 0.018559, 0.014701, 0.009295, 0.003336, 0.00127]",5003,PlayerBFMM,7,"[0.07799, 0.011678, 0.051828, 0.110588, 0.047528, 0.043972, 0.077623, 0.035797, 0.123263, 0.026853, 0.024611, 0.021188, 0.005945, 0.009876, 0.019933, 0.013335, 0.008264, 0.00408, 0.00318, 0.000314]",7770
49,1,7,PlayerBFMM,1,"[0.000485, 0.000489, 0.000483, 0.000331]",28,PlayerAB,1,"[0.000516, 0.000461, 0.000476]",21
50,2,14,PlayerBFMM,1,"[0.000431, 0.000459, 0.000453, 0.000506, 0.00055, 0.000538, 0.000583]",49,PlayerAB,2,"[0.001252, 0.001839, 0.001992, 0.001822, 0.002032, 0.001853, 0.00064]",179
51,2,10,PlayerBFMM,1,"[0.000467, 0.000448, 0.000471, 0.000522, 0.000605]",35,PlayerAB,3,"[0.00431, 0.005732, 0.007519, 0.005446, 6.6e-05]",350
52,2,12,PlayerBFMM,1,"[0.000431, 0.000496, 0.000458, 0.000499, 0.000512, 0.000531]",42,PlayerAB,4,"[0.017513, 0.011319, 0.022687, 0.018098, 0.007812, 6.9e-05]",1246
53,2,14,PlayerBFMM,1,"[0.000466, 0.000513, 0.00048, 0.000494, 0.000609, 0.000605, 0.000621]",49,PlayerAB,5,"[0.033539, 0.121765, 0.097396, 0.076254, 0.111662, 0.051852, 0.011087]",7893
54,2,10,PlayerBFMM,1,"[0.000453, 0.000541, 0.000471, 0.000494, 0.000521]",35,PlayerAB,6,"[0.21082, 0.065661, 0.106128, 0.060483, 6.9e-05]",7478
55,2,12,PlayerBFMM,1,"[0.000492, 0.00047, 0.000479, 0.000511, 0.00068, 0.000543]",42,PlayerAB,7,"[0.491901, 0.411607, 1.613747, 1.343628, 5.989786, 7.954154]",253298
56,1,7,PlayerBFMM,2,"[0.000777, 0.000779, 0.001157, 0.000342]",51,PlayerAB,1,"[0.000434, 0.000443, 0.000457]",21
57,2,24,PlayerBFMM,2,"[0.000761, 0.00094, 0.000804, 0.000845, 0.001929, 0.003566, 0.002097, 0.001107, 0.000868, 0.001472, 0.00151, 0.001379]",194,PlayerAB,2,"[0.001205, 0.001883, 0.001961, 0.001885, 0.00211, 0.001767, 0.001398, 0.002207, 0.000948, 0.001437, 0.000913, 0.000194]",263
58,2,40,PlayerBFMM,2,"[0.000914, 0.00078, 0.001195, 0.002022, 0.005044, 0.003337, 0.002553, 0.006419, 0.004697, 0.003941, 0.001114, 0.003937, 0.0041, 0.002715, 0.002734, 0.001494, 0.001581, 0.000883, 0.001106, 0.000405]",589,PlayerAB,3,"[0.004776, 0.005693, 0.006101, 0.013861, 0.01189, 0.010168, 0.013586, 0.013174, 0.013264, 0.010709, 0.006829, 0.007805, 0.008799, 0.006189, 0.005539, 0.003218, 0.001895, 0.000959, 0.000754, 7.9e-05]",2046
59,2,40,PlayerBFMM,2,"[0.000758, 0.001018, 0.002836, 0.001348, 0.001417, 0.003263, 0.004922, 0.00389, 0.003553, 0.001659, 0.001918, 0.005085, 0.007078, 0.002589, 0.002953, 0.004179, 0.00216, 0.001324, 0.001448, 0.000401]",600,PlayerAB,4,"[0.01646, 0.023145, 0.016803, 0.018658, 0.018751, 0.037356, 0.025012, 0.027969, 0.0416, 0.046993, 0.055098, 0.038614, 0.048263, 0.074679, 0.023984, 0.019146, 0.004254, 0.001409, 0.000244, 6.6e-05]",6885
60,2,22,PlayerBFMM,2,"[0.000871, 0.00087, 0.000799, 0.000875, 0.002184, 0.003698, 0.002076, 0.002658, 0.001026, 0.000795, 0.001292]",191,PlayerAB,5,"[0.034364, 0.125018, 0.105142, 0.075319, 0.108063, 0.09698, 0.035327, 0.011981, 0.029737, 0.001664, 6.9e-05]",9543
61,2,26,PlayerBFMM,2,"[0.000753, 0.00108, 0.0009, 0.000805, 0.001799, 0.00349, 0.002923, 0.003457, 0.004438, 0.002486, 0.00731, 0.00395, 0.003427]",390,PlayerAB,6,"[0.247227, 0.203803, 0.161807, 0.102446, 0.767891, 0.821801, 1.545907, 1.400383, 0.170172, 0.328416, 0.046172, 0.0646, 0.01686]",84334
62,2,26,PlayerBFMM,2,"[0.001271, 0.001167, 0.004484, 0.003587, 0.00218, 0.004058, 0.003604, 0.001241, 0.001668, 0.001883, 0.001303, 0.001053, 0.002092]",374,PlayerAB,7,"[0.556067, 1.665825, 1.43051, 1.23519, 1.277722, 1.554785, 3.713519, 1.894988, 1.284804, 0.461613, 0.020354, 0.005155, 7.5e-05]",210369
63,1,7,PlayerBFMM,3,"[0.001947, 0.003446, 0.00372, 0.000342]",142,PlayerAB,1,"[0.000494, 0.000444, 0.000501]",21
64,2,24,PlayerBFMM,3,"[0.001973, 0.003358, 0.002496, 0.001844, 0.00259, 0.003956, 0.002988, 0.004156, 0.001248, 0.002492, 0.001892, 0.001382]",350,PlayerAB,2,"[0.001232, 0.001887, 0.002134, 0.002009, 0.002333, 0.00197, 0.001569, 0.002329, 0.00102, 0.001508, 0.000911, 7.5e-05]",263
65,2,40,PlayerBFMM,3,"[0.002101, 0.003628, 0.003755, 0.004138, 0.005857, 0.005292, 0.003344, 0.006968, 0.006168, 0.007257, 0.003742, 0.004402, 0.006079, 0.003713, 0.00571, 0.00282, 0.002479, 0.001096, 0.001711, 0.000406]",940,PlayerAB,3,"[0.00457, 0.006043, 0.005737, 0.012187, 0.010905, 0.009956, 0.014887, 0.012763, 0.014325, 0.01044, 0.006719, 0.007913, 0.007919, 0.007033, 0.00529, 0.003431, 0.001761, 0.000962, 0.000708, 7.9e-05]",2046
66,2,40,PlayerBFMM,3,"[0.001917, 0.00282, 0.004873, 0.003496, 0.003156, 0.005256, 0.006634, 0.005996, 0.00511, 0.003278, 0.003434, 0.006684, 0.008679, 0.004328, 0.004386, 0.007527, 0.003682, 0.002403, 0.002009, 0.000374]",899,PlayerAB,4,"[0.015926, 0.025544, 0.028506, 0.0194, 0.01811, 0.03729, 0.025341, 0.028473, 0.040432, 0.046506, 0.051242, 0.038268, 0.046393, 0.052482, 0.021704, 0.018298, 0.00409, 0.001272, 0.000228, 6.2e-05]",6885
67,2,22,PlayerBFMM,3,"[0.001974, 0.004375, 0.002533, 0.001675, 0.002653, 0.004605, 0.003316, 0.003237, 0.001661, 0.001848, 0.001799]",314,PlayerAB,5,"[0.034306, 0.124206, 0.10002, 0.079157, 0.118946, 0.109894, 0.039011, 0.013394, 0.034076, 0.001956, 7.9e-05]",9543
